geometry,population,h3_index,count_cafe,count_university,count_restaurant,count_tourism,count_sport,count_office,count_fastfood,count_transport,count_entertainment,count_bar_pub,count_market,count_mall,population_neigh,count_cafe_neigh,count_university_neigh,count_restaurant_neigh,count_tourism_neigh,count_sport_neigh,count_office_neigh,count_fastfood_neigh,count_transport_neigh,count_entertainment_neigh,count_bar_pub_neigh,count_market_neigh,count_mall_neigh,VoroninScor
"POLYGON ((30.687862217654708 46.47403815752301, 30.691984219234797 46.47007158952657, 30.68897158822615 46.46586305579329, 30.681837312402585 46.465620919121875, 30.67771490819896 46.46958735652595, 30.680727182348672 46.47379606119004, 30.687862217654708 46.47403815752301))",0.3040115364446775,881e5dc8e1fffff,1.0,0.0,1.0,0.0,0.0,0.02857142857142857,1.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.4572609751296017,0.9933774834437086,0.05405405405405406,1.0,0.0,0.3076923076923077,0.043478260869565216,1.0,0.0,0.0,1.0,0.0,0.09090909090909091,3.9070348449382233
"POLYGON ((30.709266671731193 46.4747617496323, 30.713387370670308 46.47079456826606, 30.71037376378685 46.46658676943665, 30.703239814137014 46.466345980929624, 30.699118711947833 46.470313031853536, 30.702131962564756 46.47452100172308, 30.709266671731193 46.4747617496323))",0.5067514420555846,881e5dc88dfffff,1.0,0.07692307692307693,1.0,0.0,0.0,0.11428571428571428,1.0,0.0,0.0,1.0,0.0,0.09090909090909091,0.5814029791981101,0.9668874172185431,0.1891891891891892,1.0,0.08571428571428572,0.3076923076923077,0.21739130434782608,0.9523809523809523,0.1111111111111111,0.0,1.0,0.2857142857142857,0.3333333333333333,17.763070196299594
"POLYGON ((30.730670143450872 46.47548129685027, 30.734789538714338 46.47151350259835, 30.73177495688984 46.467306438966645, 30.724641335381936 46.467066998433985, 30.720521536242316 46.47103466239384, 30.723535762392984 46.475241897174726, 30.730670143450872 46.47548129685027))",0.8729024646040902,881e5dc88bfffff,0.881578947368421,0.07692307692307693,0.9538461538461539,0.14285714285714285,0.16666666666666666,0.3142857142857143,0.8666666666666667,0.0,0.07692307692307693,0.8888888888888888,0.2,0.18181818181818182,0.7582124811339327,0.47019867549668876,0.7027027027027027,0.7916666666666666,1.0,0.38461538461538464,0.8913043478260869,0.42857142857142855,0.4444444444444444,0.05263157894736842,0.7619047619047619,0.5714285714285714,0.7272727272727273,35.102035792313835
"POLYGON ((30.676604281499344 46.47776214601173, 30.680727182348672 46.47379606119004, 30.67771490819896 46.46958735652595, 30.670580090313756 46.46934456581029, 30.66645678712868 46.47331051995326, 30.66946870407078 46.47751939548683, 30.676604281499344 46.47776214601173))",0.2743838489774515,881e5dc8edfffff,1.0,0.0,1.0,0.0,0.0,0.02857142857142857,1.0,0.0,0.0,1.0,0.0,0.09090909090909091,0.4297657326596233,0.9867549668874173,0.0,1.0,0.05714285714285714,0.0,0.03260869565217391,1.0,0.1111111111111111,0.0,1.0,0.0,0.06060606060606061,1.1385830556954977
"POLYGON ((30.698010363947265 46.478487700248316, 30.702131962564756 46.47452100172308, 30.699118711947833 46.470313031853536, 30.691984219234797 46.47007158952657, 30.687862217654708 46.47403815752301, 30.690875111656467 46.47824629837146, 30.698010363947265 46.478487700248316))",0.6160199265862611,881e5dc8ebfffff,1.0,0.0,1.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4467222258678391,0.9801324503311258,0.08108108108108109,1.0,0.0,0.07692307692307693,0.07608695652173914,1.0,0.2222222222222222,0.0,1.0,0.0,0.12121212121212122,10.75308641183096
"POLYGON ((30.719415467042825 46.47920920891959, 30.723535762392984 46.475241897174726, 30.720521536242316 46.47103466239384, 30.713387370670308 46.47079456826606, 30.709266671731193 46.4747617496323, 30.71228054185925 46.478969155501254, 30.719415467042825 46.47920920891959))",0.6171997902464604,881e5dc889fffff,1.0,0.23076923076923078,1.0,0.0,0.16666666666666666,0.14285714285714285,1.0,0.0,0.0,1.0,0.4,0.2727272727272727,0.8316818688890347,0.7682119205298014,0.7027027027027027,0.9375,0.22857142857142856,0.3076923076923077,0.4891304347826087,0.8333333333333334,0.1111111111111111,0.10526315789473684,0.8571428571428571,0.14285714285714285,0.3333333333333333,36.37334708705928
"POLYGON ((30.686752613482007 46.48221251380831, 30.690875111656467 46.47824629837146, 30.687862217654708 46.47403815752301, 30.680727182348672 46.47379606119004, 30.676604281499344 46.47776214601173, 30.679616818537156 46.48197045777778, 30.686752613482007 46.48221251380831))",0.541885159937074,881e5dc8e9fffff,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.09090909090909091,0.4769341820329418,0.9867549668874173,0.0,1.0,0.02857142857142857,0.23076923076923078,0.05434782608695652,1.0,0.1111111111111111,0.0,1.0,0.14285714285714285,0.15151515151515152,9.349991027883606
"POLYGON ((30.70815934654337 46.48293598449162, 30.71228054185925 46.478969155501254, 30.709266671731193 46.4747617496323, 30.702131962564756 46.47452100172308, 30.698010363947265 46.478487700248316, 30.70102387770401 46.482695277144174, 30.70815934654337 46.48293598449162))",0.3234792868379654,881e5dc8c7fffff,0.9736842105263158,0.15384615384615385,1.0,0.0,0.0,0.02857142857142857,1.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.6527199947503117,0.9602649006622517,0.35135135135135137,0.9895833333333334,0.0,0.46153846153846156,0.10869565217391304,1.0,0.0,0.05263157894736842,1.0,0.2857142857142857,0.2727272727272727,16.234451207642692
"POLYGON ((30.645050386061918 46.4725788363571, 30.649174989814803 46.46861349655073, 30.646164313354284 46.46440349389349, 30.63902939109022 46.46415866032741, 30.634904385968078 46.46812386924206, 30.63791470438546 46.47233404261071, 30.645050386061918 46.4725788363571))",0.05748557944415312,881e5dc835fffff,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.08412625500360917,1.0,0.0,1.0,0.0,0.15384615384615385,0.010869565217391304,1.0,0.0,0.0,1.0,0.0,0.0,-8.48290404928237
"POLYGON ((30.633789202184005 46.47629889857561, 30.63791470438546 46.47233404261071, 30.634904385968078 46.46812386924206, 30.627768923647203 46.4678783811847, 30.623643020364895 46.4718431061718, 30.62665298039052 46.47605345019026, 30.633789202184005 46.47629889857561))",0.05106187729417934,881e5dc823fffff,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.04241748146203819,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-10.038499272513608
"POLYGON ((30.65519722560806 46.477032545642274, 30.65932142765244 46.47306707500755, 30.656310130902817 46.46885763584356, 30.649174989814803 46.46861349655073, 30.645050386061918 46.4725788363571, 30.64806132501175 46.47678844628087, 30.65519722560806 46.477032545642274))",0.15547981122181437,881e5dc831fffff,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.206378371284205,1.0,0.0,1.0,0.02857142857142857,0.0,0.021739130434782608,1.0,0.1111111111111111,0.0,1.0,0.0,0.0,-1.965190080832407
"POLYGON ((30.622526579863365 46.480017822066756, 30.62665298039052 46.47605345019026, 30.623643020364895 46.4718431061718, 30.61793774265245 46.471646313531814, 30.617792 46.4723484, 30.6178158 46.4723454, 30.6175875 46.4736094, 30.6174347 46.4745335, 30.6172043 46.4755779, 30.6170098 46.4765555, 30.6169578 46.4767738, 30.6168762 46.4772084, 30.6166363 46.4783699, 30.61635200997368 46.47980489895297, 30.622526579863365 46.480017822066756))",0.012650760356581017,881e5dc821fffff,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.029227639608898223,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.14285714285714285,0.0,-10.081477172654116
"POLYGON ((30.64393622423044 46.48075343316029, 30.64806132501175 46.47678844628087, 30.645050386061918 46.4725788363571, 30.63791470438546 46.47233404261071, 30.633789202184005 46.47629889857561, 30.63679978298533 46.480508679197605, 30.64393622423044 46.48075343316029))",0.042081803880440485,881e5dc83dfffff,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.09299822823019883,1.0,0.0,1.0,0.0,0.15384615384615385,0.0,1.0,0.1111111111111111,0.0,1.0,0.0,0.0,-8.12254968336319
"POLYGON ((30.665344904074132 46.48148499688652, 30.66946870407078 46.47751939548683, 30.66645678712868 46.47331051995326, 30.65932142765244 46.47306707500755, 30.65519722560806 46.477032545642274, 30.658208784993818 46.48124159198392, 30.665344904074132 46.48148499688652))",0.23177766124803356,881e5dc83bfffff,1.0,0.0,1.0,0.047619047619047616,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.31152962792834177,0.9867549668874173,0.0,1.0,0.02857142857142857,0.15384615384615385,0.043478260869565216,1.0,0.1111111111111111,0.0,0.9761904761904762,0.0,0.06060606060606061,-1.0330544485757696
"POLYGON ((30.632673783589784 46.48447318207473, 30.63679978298533 46.480508679197605, 30.633789202184005 46.47629889857561, 30.62665298039052 46.47605345019026, 30.622526579863365 46.480017822066756, 30.625536802167478 46.484227773325415, 30.632673783589784 46.48447318207473))",0.03021761929732564,881e5dc82bfffff,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.02685215565325809,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.14285714285714285,0.0,-9.753894833395627
"POLYGON ((30.72956509734903 46.48365540950573, 30.73368498877127 46.47968796744593, 30.730670143450872 46.47548129685027, 30.723535762392984 46.475241897174726, 30.719415467042825 46.47920920891959, 30.72242995658469 46.483416050651236, 30.72956509734903 46.48365540950573))",0.9046932354483482,881e5dc8d5fffff,0.7763157894736842,1.0,0.9538461538461539,0.09523809523809523,0.16666666666666666,0.5428571428571428,0.7333333333333333,0.0,0.0,0.8888888888888888,0.0,0.18181818181818182,1.0,0.06622516556291391,0.8918918918918919,0.10416666666666667,0.5428571428571428,0.6923076923076923,0.9021739130434783,0.5,0.0,0.7894736842105263,0.07142857142857142,0.7142857142857143,0.8484848484848485,43.72116703592714
"POLYGON ((30.67549342092746 46.485936189879, 30.679616818537156 46.48197045777778, 30.676604281499344 46.47776214601173, 30.66946870407078 46.47751939548683, 30.665344904074132 46.48148499688652, 30.668357083799172 46.48569347950888, 30.67549342092746 46.485936189879))",0.2935238594651285,881e5dc817fffff,0.9736842105263158,0.0,1.0,0.047619047619047616,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.09090909090909091,0.41791456132292143,1.0,0.0,1.0,0.02857142857142857,0.15384615384615385,0.07608695652173914,1.0,0.0,0.0,0.9761904761904762,0.2857142857142857,0.09090909090909091,3.402655765726539
"POLYGON ((30.69690178254358 46.48666162313265, 30.70102387770401 46.482695277144174, 30.698010363947265 46.478487700248316, 30.690875111656467 46.47824629837146, 30.686752613482007 46.48221251380831, 30.68976577051858 46.4864202616699, 30.69690178254358 46.48666162313265))",0.35258259045621393,881e5dc8c5fffff,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.18181818181818182,0.47510991534877617,0.9801324503311258,0.08108108108108109,0.9895833333333334,0.0,0.38461538461538464,0.043478260869565216,1.0,0.1111111111111111,0.0,1.0,0.14285714285714285,0.09090909090909091,7.4095073584823306
