name:en,addr:street,addr:housenumber,category,geometry
Silpo,,,Mall / Supermarket,POINT (30.7415977 46.4600067)
Vodafone,,,Office / Business Center,POINT (30.737237400000005 46.4717848)
,,,Office / Business Center,POINT (30.730335599999997 46.4744049)
,,,Mall / Supermarket,POINT (30.7200769 46.483974599999996)
,,,Tourism / Beach,POINT (30.793738599999998 46.58435359999999)
Vodafone,,,Office / Business Center,POINT (30.7393318 46.46776)
,вулиця Івана Франка,27,Office / Business Center,POINT (30.7458747 46.4303145)
,,,Office / Business Center,POINT (30.7396961 46.4783534)
Obzhora,,,Mall / Supermarket,POINT (30.7529949 46.47058139999999)
The Inspectorate for Training and Certification of Seafarers ORB,,,Office / Business Center,POINT (30.724575399999996 46.50266719999999)
Blesk i Vedro,вулиця Іцхака Рабіна,1,Mall / Supermarket,POINT (30.703222099999994 46.44055689999999)
,Адміральський проспект,34а,Office / Business Center,POINT (30.7306016 46.4380832)
Inotheatre,,,Entertainment,POINT (30.7444697 46.4811638)
,,,Office / Business Center,POINT (30.732465599999998 46.4851296)
Platinum Fitness,,,Sport Facility,POINT (30.747980700000003 46.4795838)
ATB-Market,,,Mall / Supermarket,POINT (30.7365738 46.47013510000001)
,Ильфа и Петрова,18,Office / Business Center,POINT (30.7153187 46.3935317)
,,,Office / Business Center,POINT (30.742431699999994 46.482166799999995)
Passport Service,площа Віри Холодної,3,Office / Business Center,POINT (30.731251299999993 46.4813603)
,проспект Шевченка,4А,Office / Business Center,POINT (30.7489117 46.4588722)
,,,Tourism / Beach,POINT (30.728222000000002 46.4934705)
,,,Office / Business Center,POINT (30.7495167 46.47353590000001)
,,,Tourism / Beach,POINT (30.749307100000003 46.4763741)
,,,Tourism / Beach,POINT (30.7292392 46.48548879999999)
,,,Tourism / Beach,POINT (30.731862099999997 46.4855219)
,,,Tourism / Beach,POINT (30.730624599999995 46.489445399999994)
,,,Tourism / Beach,POINT (30.722877 46.4852824)
,,,Tourism / Beach,POINT (30.7374831 46.4506176)
,,,Office / Business Center,POINT (30.7239825 46.46990379999999)
,,,Mall / Supermarket,POINT (30.7163586 46.43669310000001)
Tavria V,,,Mall / Supermarket,POINT (30.7096265 46.44018789999999)
,Ванний провулок,3,Sport Facility,POINT (30.759818099999997 46.412813899999996)
,Дюківська вулиця,14,Sport Facility,POINT (30.7107556 46.484100299999994)
Fitness-Stadium,,,Sport Facility,POINT (30.756574600000004 46.479925699999995)
Thrash!,,,Mall / Supermarket,POINT (30.7986677 46.5944802)
,проспект Князя Володимира Великого,118А,Entertainment,POINT (30.7975947 46.589638099999995)
All-Ukrainian professional business association,,,Office / Business Center,POINT (30.723841499999992 46.4997255)
Dominanta,,,Office / Business Center,POINT (30.759121500000003 46.4446988)
,,,Sport Facility,POINT (30.726287199999998 46.398806300000004)
,,,Tourism / Beach,POINT (30.747307200000005 46.47124759999999)
Gym from Mikhalich,,,Sport Facility,POINT (30.722527300000003 46.4980444)
,,,Office / Business Center,POINT (30.735528100000003 46.47714770000001)
Kyivstar,,,Office / Business Center,POINT (30.731674199999997 46.4699606)
Lifecell,,,Office / Business Center,POINT (30.7216625 46.4851555)
Objora,,,Mall / Supermarket,POINT (30.7466917 46.4703058)
Infomir,проспект Небесної Сотні,4д,Office / Business Center,POINT (30.7115459 46.413318700000005)
,,,Office / Business Center,POINT (30.673160300000003 46.46963209999999)
Tavria V,,,Mall / Supermarket,POINT (30.725554 46.4236795)
ATB-Market,Марсельська вулиця,1/3,Mall / Supermarket,POINT (30.7786292 46.5743756)
